Entry	Entry name	Protein names	Gene names	Gene names  (primary )
Q14320	FA50A_HUMAN	Protein FAM50A (Protein HXC-26) (Protein XAP-5)	FAM50A DXS9928E HXC26 XAP5	FAM50A
Q6NSI3	FA53A_HUMAN	Protein FAM53A (Dorsal neural-tube nuclear protein)	FAM53A	FAM53A
P02790	HEMO_HUMAN	Hemopexin (Beta-1B-glycoprotein)	HPX	HPX
A0A0G2JMI3	HV692_HUMAN	Immunoglobulin heavy variable 1-69-2	IGHV1-69-2	IGHV1-69-2
Q9H3N8	HRH4_HUMAN	Histamine H4 receptor (H4R) (HH4R) (AXOR35) (G-protein coupled receptor 105) (GPRv53) (Pfi-013) (SP9144)	HRH4 GPCR105	HRH4
O00479	HMGN4_HUMAN	High mobility group nucleosome-binding domain-containing protein 4 (Non-histone chromosomal protein HMG-17-like 3) (Non-histone chromosomal protein)	HMGN4 HMG17L3 NHC	HMGN4
P52597	HNRPF_HUMAN	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]	HNRNPF HNRPF	HNRNPF
Q9Y547	IFT25_HUMAN	Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Placental protein 25) (PP25)	HSPB11 C1orf41 IFT25 HSPC034	HSPB11
Q5TF58	IFFO2_HUMAN	Intermediate filament family orphan 2	IFFO2	IFFO2
P05014	IFNA4_HUMAN	Interferon alpha-4 (IFN-alpha-4) (Interferon alpha-4B) (Interferon alpha-76) (Interferon alpha-M1)	IFNA4	IFNA4
Q96BZ8	LENG1_HUMAN	Leukocyte receptor cluster member 1	LENG1	LENG1
P01563	IFNA2_HUMAN	Interferon alpha-2 (IFN-alpha-2) (Interferon alpha-A) (LeIF A)	IFNA2 IFNA2A IFNA2B IFNA2C	IFNA2
A6NNB3	IFM5_HUMAN	Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)	IFITM5	IFITM5
P52294	IMA5_HUMAN	Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]	KPNA1 RCH2	KPNA1
Q8WX77	IBPL1_HUMAN	Insulin-like growth factor-binding protein-like 1 (IGFBP-related protein 10) (Insulin-like growth factor-binding-related protein 4) (IGFBP-rP4)	IGFBPL1 IGFBPRP4	IGFBPL1
Q9GZV4	IF5A2_HUMAN	Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2)	EIF5A2	EIF5A2
P17181	INAR1_HUMAN	Interferon alpha/beta receptor 1 (IFN-R-1) (IFN-alpha/beta receptor 1) (Cytokine receptor class-II member 1) (Cytokine receptor family 2 member 1) (CRF2-1) (Type I interferon receptor 1)	IFNAR1 IFNAR	IFNAR1
Q8NI35	INADL_HUMAN	InaD-like protein (Inadl protein) (hINADL) (Channel-interacting PDZ domain-containing protein) (Pals1-associated tight junction protein) (Protein associated to tight junctions)	PATJ CIPP INADL	PATJ
Q6UX52	IL40_HUMAN	Protein IL-40 (Interleukin-40) (IL-40)	C17orf99 IL40 UNQ464/PRO809	C17orf99
P14778	IL1R1_HUMAN	Interleukin-1 receptor type 1 (IL-1R-1) (IL-1RT-1) (IL-1RT1) (EC 3.2.2.6) (CD121 antigen-like family member A) (Interleukin-1 receptor alpha) (IL-1R-alpha) (Interleukin-1 receptor type I) (p80) (CD antigen CD121a) [Cleaved into: Interleukin-1 receptor type 1, membrane form (mIL-1R1) (mIL-1RI); Interleukin-1 receptor type 1, soluble form (sIL-1R1) (sIL-1RI)]	IL1R1 IL1R IL1RA IL1RT1	IL1R1
P05111	INHA_HUMAN	Inhibin alpha chain	INHA	INHA
Q8WWN9	ICEF1_HUMAN	Interactor protein for cytohesin exchange factors 1 (Phosphoinositide-binding protein PIP3-E)	IPCEF1 KIAA0403	IPCEF1
Q92819	HYAS2_HUMAN	Hyaluronan synthase 2 (EC 2.4.1.212) (Hyaluronate synthase 2) (Hyaluronic acid synthase 2) (HA synthase 2)	HAS2	HAS2
P10997	IAPP_HUMAN	Islet amyloid polypeptide (Amylin) (Diabetes-associated peptide) (DAP) (Insulinoma amyloid peptide)	IAPP	IAPP
O00410	IPO5_HUMAN	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	IPO5 KPNB3 RANBP5	IPO5
Q96A47	ISL2_HUMAN	Insulin gene enhancer protein ISL-2 (Islet-2)	ISL2	ISL2
P35527	K1C9_HUMAN	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	KRT9	KRT9
P19013	K2C4_HUMAN	Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Keratin-4) (K4) (Type-II keratin Kb4)	KRT4 CYK4	KRT4
P41236	IPP2_HUMAN	Protein phosphatase inhibitor 2 (IPP-2)	PPP1R2 IPP2	PPP1R2
Q92813	IOD2_HUMAN	Type II iodothyronine deiodinase (EC 1.21.99.4) (5DII) (DIOII) (Type 2 DI) (Type-II 5'-deiodinase)	DIO2 ITDI2 TXDI2	DIO2
P51787	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)	KCNQ1 KCNA8 KCNA9 KVLQT1	KCNQ1
Q8TDN2	KCNV2_HUMAN	Potassium voltage-gated channel subfamily V member 2 (Voltage-gated potassium channel subunit Kv8.2)	KCNV2	KCNV2
Q14525	KT33B_HUMAN	Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II) (Keratin-33B) (K33B)	KRT33B HHA3-II HKA3B KRTHA3B	KRT33B
Q14954	KI2S1_HUMAN	Killer cell immunoglobulin-like receptor 2DS1 (CD158 antigen-like family member H) (MHC class I NK cell receptor Eb6 ActI) (CD antigen CD158h)	KIR2DS1 CD158H	KIR2DS1
O76009	KT33A_HUMAN	Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)	KRT33A HHA3-I HKA3A KRTHA3A	KRT33A
Q13237	KGP2_HUMAN	cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)	PRKG2 PRKGR2	PRKG2
P60413	KR10C_HUMAN	Keratin-associated protein 10-12 (High sulfur keratin-associated protein 10.12) (Keratin-associated protein 10.12) (Keratin-associated protein 18-12) (Keratin-associated protein 18.12)	KRTAP10-12 KAP10.12 KAP18-12 KRTAP10.12 KRTAP18-12 KRTAP18.12	KRTAP10-12
P17658	KCNA6_HUMAN	Potassium voltage-gated channel subfamily A member 6 (Voltage-gated potassium channel HBK2) (Voltage-gated potassium channel subunit Kv1.6)	KCNA6	KCNA6
Q9Y664	KPTN_HUMAN	KICSTOR complex protein kaptin (Actin-associated protein 2E4)	KPTN	KPTN
Q96RP8	KCNA7_HUMAN	Potassium voltage-gated channel subfamily A member 7 (Voltage-gated potassium channel subunit Kv1.7)	KCNA7	KCNA7
Q76NI1	KNDC1_HUMAN	Kinase non-catalytic C-lobe domain-containing protein 1 (KIND domain-containing protein 1) (Cerebral protein 9) (Protein very KIND) (v-KIND) (Ras-GEF domain-containing family member 2)	KNDC1 C10orf23 KIAA1768 RASGEF2 VKIND hucep-9	KNDC1
Q9BYQ4	KRA92_HUMAN	Keratin-associated protein 9-2 (Keratin-associated protein 9.2) (Ultrahigh sulfur keratin-associated protein 9.2)	KRTAP9-2 KAP9.2 KRTAP9.2	KRTAP9-2
P10644	KAP0_HUMAN	cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1)	PRKAR1A PKR1 PRKAR1 TSE1	PRKAR1A
O94806	KPCD3_HUMAN	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	PRKD3 EPK2 PRKCN	PRKD3
Q96QS6	KPSH2_HUMAN	Serine/threonine-protein kinase H2 (EC 2.7.11.1) (Protein serine kinase H2) (PSK-H2)	PSKH2	PSKH2
Q96NX5	KCC1G_HUMAN	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	CAMK1G CLICK3 VWS1	CAMK1G
Q93100	KPBB_HUMAN	Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	PHKB	PHKB
P63252	KCNJ2_HUMAN	Inward rectifier potassium channel 2 (Cardiac inward rectifier potassium channel) (Inward rectifier K(+) channel Kir2.1) (IRK-1) (hIRK1) (Potassium channel, inwardly rectifying subfamily J member 2)	KCNJ2 IRK1	KCNJ2
Q6MZP7	LIN54_HUMAN	Protein lin-54 homolog (CXC domain-containing protein 1)	LIN54 CXCDC1 KIAA2037	LIN54
Q2Q1W2	LIN41_HUMAN	E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)	TRIM71 LIN41	TRIM71
O95970	LGI1_HUMAN	Leucine-rich glioma-inactivated protein 1 (Epitempin-1)	LGI1 EPT UNQ775/PRO1569	LGI1
Q5SZI1	LRAD2_HUMAN	Low-density lipoprotein receptor class A domain-containing protein 2	LDLRAD2	LDLRAD2
P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	LDHA
Q6UX82	LYPD8_HUMAN	Ly6/PLAUR domain-containing protein 8	LYPD8 UNQ511/PRO1026	LYPD8
Q96NI6	LRFN5_HUMAN	Leucine-rich repeat and fibronectin type-III domain-containing protein 5	LRFN5 C14orf146 SALM5	LRFN5
Q9UMY1	NOL7_HUMAN	Nucleolar protein 7 (Nucleolar protein of 27 kDa)	NOL7 C6orf90 NOP27	NOL7
Q8WUJ1	NEUFC_HUMAN	Neuferricin (Cytochrome b5 domain-containing protein 2)	CYB5D2	CYB5D2
O95167	NDUA3_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3	NDUFA3
P07197	NFM_HUMAN	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	NEFM NEF3 NFM	NEFM
Q96SB3	NEB2_HUMAN	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)	PPP1R9B PPP1R6	PPP1R9B
P08473	NEP_HUMAN	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	MME EPN	MME
Q9P2S2	NRX2A_HUMAN	Neurexin-2 (Neurexin II-alpha) (Neurexin-2-alpha)	NRXN2 KIAA0921	NRXN2
O15504	NUP42_HUMAN	Nucleoporin NUP42 (NLP-1) (NUP42 homolog) (Nucleoporin hCG1) (Nucleoporin-42) (Nucleoporin-like protein 2)	NUP42 CG1 NUPL2	NUP42
Q8NGA1	OR1M1_HUMAN	Olfactory receptor 1M1 (Olfactory receptor 19-6) (OR19-6) (Olfactory receptor OR19-5)	OR1M1	OR1M1
Q8NGB4	OR4S1_HUMAN	Olfactory receptor 4S1 (Olfactory receptor OR11-100)	OR4S1	OR4S1
Q9NUX5	POTE1_HUMAN	Protection of telomeres protein 1 (hPot1) (POT1-like telomere end-binding protein)	POT1	POT1
P09086	PO2F2_HUMAN	POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)	POU2F2 OCT2 OTF2	POU2F2
Q96S44	PRPK_HUMAN	EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	TP53RK C20orf64 PRPK	TP53RK
A6NJB7	PRR19_HUMAN	Proline-rich protein 19	PRR19	PRR19
Q9NQV7	PRDM9_HUMAN	Histone-lysine N-methyltransferase PRDM9 (PR domain zinc finger protein 9) (PR domain-containing protein 9) (Protein-lysine N-methyltransferase PRDM9) (EC 2.1.1.-) ([histone H3]-lysine36 N-trimethyltransferase PRDM9) (EC 2.1.1.359) ([histone H3]-lysine4 N-trimethyltransferase PRDM9) (EC 2.1.1.354) ([histone H3]-lysine9 N-trimethyltransferase PRDM9) (EC 2.1.1.355) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.361)	PRDM9 PFM6	PRDM9
P32119	PRDX2_HUMAN	Peroxiredoxin-2 (EC 1.11.1.24) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2)	PRDX2 NKEFB TDPX1	PRDX2
P25786	PSA1_HUMAN	Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	PSMA1 HC2 NU PROS30 PSC2	PSMA1
Q9UKN5	PRDM4_HUMAN	PR domain zinc finger protein 4 (EC 2.1.1.-) (PR domain-containing protein 4)	PRDM4 PFM1	PRDM4
P85299	PRR5_HUMAN	Proline-rich protein 5 (Protein observed with Rictor-1) (Protor-1)	PRR5 PROTOR1 PP610	PRR5
P25789	PSA4_HUMAN	Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L)	PSMA4 HC9 PSC9	PSMA4
P13727	PRG2_HUMAN	Bone marrow proteoglycan (BMPG) (Proteoglycan 2) [Cleaved into: Eosinophil granule major basic protein (EMBP) (MBP) (Pregnancy-associated major basic protein)]	PRG2 MBP	PRG2
Q5FWE3	PRRT3_HUMAN	Proline-rich transmembrane protein 3	PRRT3 UNQ5823/PRO19642	PRRT3
P86478	PR20E_HUMAN	Proline-rich protein 20E	PRR20E	PRR20E
Q8N135	LGI4_HUMAN	Leucine-rich repeat LGI family member 4 (LGI1-like protein 3) (Leucine-rich glioma-inactivated protein 4)	LGI4 LGIL3 UNQ6515/PRO21485	LGI4
Q86UP9	LHPL3_HUMAN	LHFPL tetraspan subfamily member 3 protein (Lipoma HMGIC fusion partner-like 3 protein)	LHFPL3 LHFPL4	LHFPL3
P24043	LAMA2_HUMAN	Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain)	LAMA2 LAMM	LAMA2
Q1X8D7	LRC36_HUMAN	Leucine-rich repeat-containing protein 36 (ROR gamma-binding protein 70)	LRRC36 RORBP70	LRRC36
Q86X29	LSR_HUMAN	Lipolysis-stimulated lipoprotein receptor	LSR LISCH	LSR
Q9UI17	M2GD_HUMAN	Dimethylglycine dehydrogenase, mitochondrial (EC 1.5.8.4) (ME2GLYDH)	DMGDH	DMGDH
Q8TC57	M1AP_HUMAN	Meiosis 1 arrest protein (Meiosis 1-arresting protein) (Meiosis 1-associated protein) (Spermatogenesis-associated protein 37)	M1AP C2orf65 SPATA37	M1AP
Q9Y4F3	MARF1_HUMAN	Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1)	MARF1 KIAA0430 LKAP	MARF1
Q9H3H1	MOD5_HUMAN	tRNA dimethylallyltransferase (EC 2.5.1.75) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (hGRO1) (tRNA isopentenyltransferase 1) (IPTase)	TRIT1 IPT MOD5	TRIT1
P49914	MTHFS_HUMAN	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2) (5,10-methenyl-tetrahydrofolate synthetase) (MTHFS) (Methenyl-THF synthetase)	MTHFS	MTHFS
O94776	MTA2_HUMAN	Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1) (MTA1-L1 protein) (p53 target protein in deacetylase complex)	MTA2 MTA1L1 PID	MTA2
Q13585	MTR1L_HUMAN	Melatonin-related receptor (G protein-coupled receptor 50) (H9)	GPR50	GPR50
P12525	MYCP1_HUMAN	Putative myc-like protein MYCLP1 (Protein L-Myc-2) (V-myc myelocytomatosis viral oncogene homolog pseudogene 1)	MYCLP1 MYCL1P1 MYCL2	MYCLP1
B2RTY4	MYO9A_HUMAN	Unconventional myosin-IXa (Unconventional myosin-9a)	MYO9A MYR7	MYO9A
Q15406	NR6A1_HUMAN	Nuclear receptor subfamily 6 group A member 1 (Germ cell nuclear factor) (GCNF) (hGCNF) (Retinoid receptor-related testis-specific receptor) (RTR) (hRTR)	NR6A1 GCNF	NR6A1
O60500	NPHN_HUMAN	Nephrin (Renal glomerulus-specific cell adhesion receptor)	NPHS1 NPHN	NPHS1
Q8IUM7	NPAS4_HUMAN	Neuronal PAS domain-containing protein 4 (Neuronal PAS4) (Class E basic helix-loop-helix protein 79) (bHLHe79) (HLH-PAS transcription factor NXF) (PAS domain-containing protein 10)	NPAS4 BHLHE79 NXF PASD10	NPAS4
O60287	NPA1P_HUMAN	Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog)	URB1 C21orf108 KIAA0539 NOP254 NPA1	URB1
Q6P988	NOTUM_HUMAN	Palmitoleoyl-protein carboxylesterase NOTUM (EC 3.1.1.98) (hNOTUM)	NOTUM OK/SW-CL.30	NOTUM
Q15738	NSDHL_HUMAN	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170) (Protein H105e3)	NSDHL H105E3	NSDHL
Q9HDB5	NRX3B_HUMAN	Neurexin-3-beta (Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragment (NRXN3-CTF)]	NRXN3 KIAA0743	NRXN3
Q9Y6M9	NDUB9_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (LYR motif-containing protein 3) (NADH-ubiquinone oxidoreductase B22 subunit)	NDUFB9 LYRM3 UQOR22	NDUFB9
O95478	NSA2_HUMAN	Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1)	NSA2 TINP1 HUSSY-29	NSA2
Q9H0G5	NSRP1_HUMAN	Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70) (NSrp70)	NSRP1 CCDC55 NSRP70	NSRP1
Q9BZD4	NUF2_HUMAN	Kinetochore protein Nuf2 (hNuf2) (hNuf2R) (hsNuf2) (Cell division cycle-associated protein 1)	NUF2 CDCA1 NUF2R	NUF2
Q8NGA5	O10H4_HUMAN	Olfactory receptor 10H4 (Olfactory receptor OR19-28)	OR10H4	OR10H4
O95221	OR5F1_HUMAN	Olfactory receptor 5F1 (Olfactory receptor 11-10) (OR11-10) (Olfactory receptor OR11-167)	OR5F1	OR5F1
Q8NH03	OR2T3_HUMAN	Olfactory receptor 2T3	OR2T3	OR2T3
Q8NGL9	OR4CG_HUMAN	Olfactory receptor 4C16 (Olfactory receptor OR11-135)	OR4C16	OR4C16
Q8NG95	OR7G3_HUMAN	Olfactory receptor 7G3 (OST085) (Olfactory receptor OR19-9)	OR7G3	OR7G3
O95158	NXPH4_HUMAN	Neurexophilin-4	NXPH4 NPH4 UNQ1928/PRO4403	NXPH4
Q9NZP0	OR6C3_HUMAN	Olfactory receptor 6C3 (HSA8)	OR6C3	OR6C3
Q8NGV7	OR5H2_HUMAN	Olfactory receptor 5H2 (Olfactory receptor OR3-10)	OR5H2	OR5H2
Q8NH07	O11H2_HUMAN	Olfactory receptor 11H2 (Olfactory receptor OR14-1)	OR11H2 C14orf15 OR11H2P	OR11H2
Q8NH85	OR5R1_HUMAN	Olfactory receptor 8U3 (Olfactory receptor 5R1) (Olfactory receptor OR11-185)	OR8U3 OR5R1 OR5R1P	OR8U3
Q8NGW1	OR6B3_HUMAN	Olfactory receptor 6B3 (Olfactory receptor OR2-2)	OR6B3 OR6B3P	OR6B3
Q9P242	NYAP2_HUMAN	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2	NYAP2 KIAA1486	NYAP2
Q5VV17	OTUD1_HUMAN	OTU domain-containing protein 1 (EC 3.4.19.12) (DUBA-7)	OTUD1 DUBA7 OTDC1	OTUD1
Q06190	P2R3A_HUMAN	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha (PP2A subunit B isoform PR72/PR130) (PP2A subunit B isoform R3 isoform) (PP2A subunit B isoforms B''-PR72/PR130) (PP2A subunit B isoforms B72/B130) (Serine/threonine-protein phosphatase 2A 72/130 kDa regulatory subunit B)	PPP2R3A PPP2R3	PPP2R3A
Q9UGF5	O14J1_HUMAN	Olfactory receptor 14J1 (Hs6M1-28) (Olfactory receptor 5U1) (Olfactory receptor OR6-25)	OR14J1 OR5U1	OR14J1
Q8NH76	O56B4_HUMAN	Olfactory receptor 56B4 (Olfactory receptor OR11-67)	OR56B4	OR56B4
Q15619	OR1C1_HUMAN	Olfactory receptor 1C1 (Olfactory receptor OR1-42) (Olfactory receptor TPCR27)	OR1C1	OR1C1
Q9H340	O51B6_HUMAN	Olfactory receptor 51B6 (Odorant receptor HOR5'beta6)	OR51B6	OR51B6
A6NM76	O6C76_HUMAN	Olfactory receptor 6C76	OR6C76	OR6C76
Q6ZRI0	OTOG_HUMAN	Otogelin	OTOG OTGN	OTOG
A8MYP8	ODF3B_HUMAN	Outer dense fiber protein 3B (Outer dense fiber protein 3-like protein 3)	ODF3B ODF3L3	ODF3B
O75747	P3C2G_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma (PI3K-C2-gamma) (PtdIns-3-kinase C2 subunit gamma) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-gamma)	PIK3C2G	PIK3C2G
P78380	OLR1_HUMAN	Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]	OLR1 CLEC8A LOX1	OLR1
Q6UX06	OLFM4_HUMAN	Olfactomedin-4 (OLM4) (Antiapoptotic protein GW112) (G-CSF-stimulated clone 1 protein) (hGC-1) (hOLfD)	OLFM4 GW112 UNQ362/PRO698	OLFM4
Q9BR26	OCSTP_HUMAN	Osteoclast stimulatory transmembrane protein (OC-STAMP)	OCSTAMP C20orf123	OCSTAMP
Q17RF5	ODAPH_HUMAN	Odontogenesis associated phosphoprotein	ODAPH C4orf26	ODAPH
Q9Y5F2	PCDBB_HUMAN	Protocadherin beta-11 (PCDH-beta-11)	PCDHB11	PCDHB11
Q6P996	PDXD1_HUMAN	Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-)	PDXDC1 KIAA0251	PDXDC1
Q16654	PDK4_HUMAN	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4)	PDK4 PDHK4	PDK4
Q9UHG2	PCS1N_HUMAN	ProSAAS (Proprotein convertase subtilisin/kexin type 1 inhibitor) (Proprotein convertase 1 inhibitor) (pro-SAAS) [Cleaved into: KEP; Big SAAS (b-SAAS); Little SAAS (l-SAAS) (N-proSAAS); Big PEN-LEN (b-PEN-LEN) (SAAS CT(1-49)); PEN; Little LEN (l-LEN); Big LEN (b-LEN) (SAAS CT(25-40))]	PCSK1N	PCSK1N
Q9BSM1	PCGF1_HUMAN	Polycomb group RING finger protein 1 (Nervous system Polycomb-1) (NSPc1) (RING finger protein 68)	PCGF1 NSPC1 RNF68	PCGF1
P57723	PCBP4_HUMAN	Poly(rC)-binding protein 4 (Alpha-CP4)	PCBP4	PCBP4
Q96RD7	PANX1_HUMAN	Pannexin-1	PANX1 MRS1 UNQ2529/PRO6028	PANX1
Q9UN72	PCDA7_HUMAN	Protocadherin alpha-7 (PCDH-alpha-7)	PCDHA7 CNRS4	PCDHA7
Q58A44	PCOTH_HUMAN	Prostate collagen triple helix protein (C1QTNF9B antisense RNA 1) (C1QTNF9B antisense gene protein 1)	PCOTH C1QTNF9B-AS1	PCOTH
Q99447	PCY2_HUMAN	Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase)	PCYT2	PCYT2
B3GLJ2	PATE3_HUMAN	Prostate and testis expressed protein 3 (Acrosomal vesicle protein HEL-127) (PATE-like protein DJ) (PATE-DJ)	PATE3	PATE3
Q9UP65	PA24C_HUMAN	Cytosolic phospholipase A2 gamma (cPLA2-gamma) (EC 3.1.1.4) (Cytosolic lysophospholipase) (EC 3.1.1.5) (Cytosolic lysophospholipid O-acyltransferase) (EC 2.3.1.-) (Phospholipase A2 group IVC)	PLA2G4C	PLA2G4C
Q9UIL8	PHF11_HUMAN	PHD finger protein 11 (BRCA1 C-terminus-associated protein) (Renal carcinoma antigen NY-REN-34)	PHF11 BCAP	PHF11
P04054	PA21B_HUMAN	Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B)	PLA2G1B PLA2 PLA2A PPLA2	PLA2G1B
Q7RTV0	PHF5A_HUMAN	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)	PHF5A	PHF5A
Q53GA4	PHLA2_HUMAN	Pleckstrin homology-like domain family A member 2 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene C protein) (Imprinted in placenta and liver protein) (Tumor-suppressing STF cDNA 3 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 3 protein) (p17-Beckwith-Wiedemann region 1 C) (p17-BWR1C)	PHLDA2 BWR1C HLDA2 IPL TSSC3	PHLDA2
O95997	PTTG1_HUMAN	Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG)	PTTG1 EAP1 PTTG TUTR1	PTTG1
A4QPH2	PI4P2_HUMAN	Putative phosphatidylinositol 4-kinase alpha-like protein P2	PI4KAP2	PI4KAP2
Q07326	PIGF_HUMAN	Phosphatidylinositol-glycan biosynthesis class F protein (PIG-F) (GPI11 homolog)	PIGF	PIGF
P07202	PERT_HUMAN	Thyroid peroxidase (TPO) (EC 1.11.1.8)	TPO	TPO
O15173	PGRC2_HUMAN	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	PGRMC2 DG6 PMBP	PGRMC2
